Date,Open,High,Low,Close,Adj Close,Volume
2013-06-24,3.684610,3.684610,3.578469,3.616376,3.616376,115200
2013-06-25,3.639121,3.639121,3.586050,3.593632,3.593632,55200
2013-06-26,3.623958,3.631539,3.563306,3.586050,3.586050,27800
2013-06-27,3.601213,3.601213,3.570887,3.586050,3.586050,62200
2013-06-28,3.586050,3.586050,3.555724,3.563306,3.563306,323400
2013-07-01,3.578469,3.722517,3.495072,3.608794,3.608794,100500
2013-07-02,3.563306,3.623958,3.555724,3.601213,3.601213,76100
2013-07-03,3.616376,3.639121,3.563306,3.601213,3.601213,31600
2013-07-05,3.616376,3.616376,3.586050,3.601213,3.601213,75400
2013-07-08,3.608794,3.798332,3.608794,3.775588,3.775588,122100
2013-07-09,3.790751,3.821077,3.722517,3.760425,3.760425,107100
2013-07-10,3.760425,3.828658,3.677028,3.805914,3.805914,63400
2013-07-11,3.836240,3.836240,3.730098,3.790751,3.790751,100100
2013-07-12,3.775588,3.828658,3.760425,3.768006,3.768006,79400
2013-07-15,3.783169,3.805914,3.752843,3.783169,3.783169,92900
2013-07-16,3.790751,3.805914,3.768006,3.768006,3.768006,91400
2013-07-17,3.783169,3.805914,3.783169,3.783169,3.783169,61000
2013-07-18,3.813495,4.177407,3.813495,4.094011,4.094011,853100
2013-07-19,4.169826,4.382108,4.109174,4.184988,4.184988,831100
2013-07-22,4.260804,4.503412,4.245641,4.283548,4.283548,709800
2013-07-23,4.359363,4.389689,4.169826,4.177407,4.177407,390500
2013-07-24,4.200151,4.222896,4.162244,4.184988,4.184988,364300
2013-07-25,4.192570,4.253222,4.139500,4.184988,4.184988,169700
2013-07-26,4.147081,4.313874,4.124337,4.131918,4.131918,118800
2013-07-29,4.139500,4.200151,4.056103,4.139500,4.139500,142900
2013-07-30,4.169826,4.192570,4.101592,4.131918,4.131918,63800
2013-07-31,4.139500,4.169826,3.942381,4.056103,4.056103,167700
2013-08-01,4.018196,4.025777,3.889310,3.957544,3.957544,275600
2013-08-02,3.934799,3.972707,3.881729,3.949962,3.949962,142100
2013-08-05,3.949962,4.101592,3.949962,4.063684,4.063684,117600
2013-08-06,4.056103,4.056103,3.972707,3.980288,3.980288,91500
2013-08-07,3.980288,4.040940,3.980288,3.980288,3.980288,69500
2013-08-08,3.987870,4.018196,3.942381,3.987870,3.987870,487200
2013-08-09,3.965125,3.995451,3.942381,3.972707,3.972707,94300
2013-08-12,3.957544,4.003033,3.957544,3.987870,3.987870,86700
2013-08-13,3.980288,3.987870,3.851403,3.874147,3.874147,183200
2013-08-14,3.881729,4.003033,3.881729,3.965125,3.965125,130800
2013-08-15,3.927217,3.942381,3.798332,3.821077,3.821077,96400
2013-08-16,3.798332,3.881729,3.790751,3.836240,3.836240,158000
2013-08-19,3.805914,3.889310,3.790751,3.790751,3.790751,201400
2013-08-20,3.798332,3.866565,3.798332,3.821077,3.821077,62100
2013-08-21,3.821077,3.851403,3.768006,3.798332,3.798332,131300
2013-08-22,3.813495,3.858984,3.790751,3.813495,3.813495,44300
2013-08-23,3.828658,3.904473,3.821077,3.858984,3.858984,72800
2013-08-26,3.858984,3.912055,3.790751,3.798332,3.798332,73200
2013-08-27,3.775588,3.813495,3.730098,3.760425,3.760425,280500
2013-08-28,3.752843,3.805914,3.699773,3.714936,3.714936,82700
2013-08-29,3.722517,3.919636,3.714936,3.798332,3.798332,132900
2013-08-30,3.790751,3.821077,3.722517,3.745262,3.745262,146200
2013-09-03,3.768006,3.805914,3.760425,3.805914,3.805914,125100
2013-09-04,3.805914,3.919636,3.790751,3.896892,3.896892,104500
2013-09-05,3.889310,3.980288,3.881729,3.934799,3.934799,48200
2013-09-06,3.957544,3.987870,3.912055,3.957544,3.957544,57900
2013-09-09,3.957544,4.025777,3.919636,4.025777,4.025777,81300
2013-09-10,4.048522,4.086429,4.018196,4.025777,4.025777,60600
2013-09-11,4.025777,4.063684,4.025777,4.033359,4.033359,101800
2013-09-12,4.018196,4.094011,4.018196,4.056103,4.056103,79500
2013-09-13,4.094011,4.116755,4.048522,4.086429,4.086429,80500
2013-09-16,4.116755,4.131918,4.078847,4.094011,4.094011,86200
2013-09-17,4.086429,4.094011,4.056103,4.086429,4.086429,93700
2013-09-18,4.116755,4.131918,4.056103,4.086429,4.086429,115200
2013-09-19,4.109174,4.154663,4.003033,4.018196,4.018196,152300
2013-09-20,4.018196,4.071266,4.010614,4.040940,4.040940,151400
2013-09-23,4.086429,4.131918,3.980288,4.018196,4.018196,358100
2013-09-24,4.025777,4.086429,4.003033,4.048522,4.048522,112500
2013-09-25,4.056103,4.094011,4.025777,4.040940,4.040940,135000
2013-09-26,4.003033,4.063684,3.949962,4.003033,4.003033,146600
